Category Code;Category Title;Template;Order Rules;Low Score;High Score;Subject;Rating;Icon;Title Icon;Sequel
Ch01;Basic expressions;;;12;18;en-us_fr;;Basic-Expressions.png;;
Ch02;Colors;;;15;22;en-us_fr;;Colors.png;;
Ch03;Numbers;;;15;22;en-us_fr;;Numbers.png;;
Ch04;Making friends;;;10;15;en-us_fr;;Making-Friends.png;;
Ch05;Months;;;11;16;en-us_fr;;Days-Months-Seasons.png;;
Ch05b;Numbers;;;14;20;en-us_fr;;Days-Months-Seasons.png;;
Ch06;Polite expressions;;;9;14;en-us_fr;;Polite-Expressions.png;;
Ch07;Shopping phrases;;;9;13;en-us_fr;;Shopping-Phrases.png;;
Ch08;Animals;;;15;22;en-us_fr;;Animals.png;;
Ch08b;Days / Month / Seasons;;;10;15;en-us_fr;;Days-Months-Seasons.png;;
Ch09;Clothes and Accessories;;;15;22;en-us_fr;;Clothes-and-Accessories.png;;
Ch10;Communication difficulties;;;9;13;en-us_fr;;Communication-Difficulties.png;;
Ch11;Weather;;;9;14;en-us_fr;;Weather.png;;
Ch12;Family and Friends;;;14;20;en-us_fr;;Family-and-Friends.png;;
Ch13;Ordinal numbers;;;14;20;en-us_fr;;Ordinal-Numbers.png;;
Ch14;Civilities;;;10;15;en-us_fr;;Civilities.png;;
Ch15;School;;;14;20;en-us_fr;;School.png;;
Ch16;Sports;;;9;13;en-us_fr;;Sports.png;;
Ch17;Travel and Transport;;;14;20;en-us_fr;;Travel-and-Transport.png;;
Ch18;Technology;;;14;20;en-us_fr;;Technology.png;;
Ch19;Feelings;;;14;20;en-us_fr;;Feelings.png;;
Ch20;Around Town;;;14;20;en-us_fr;;Around-Town.png;;
Ch21;Food and Drink;;;14;20;en-us_fr;;Food-and-Drink.png;;
Ch22;House and Home;;;14;20;en-us_fr;;House-and-Home.png;;
Ch23;Work;;;9;14;en-us_fr;;Work.png;;
Ch24;Asking for directions;;;9;13;en-us_fr;;Asking-for-Directions.png;;
Ch25;Sport and Play;;;14;20;en-us_fr;;Sport-and-Play.png;;
Ch26;Emergencies;;;9;14;en-us_fr;;Emergencies.png;;
Ch27;Work;;;14;20;en-us_fr;;Work-2.png;;
Ch28;Health;;;14;20;en-us_fr;;Health.png;;
Ch29;Entertainment and Media;;;14;20;en-us_fr;;Entertainment-and-Media.png;;
Ch30;Geography;;;14;20;en-us_fr;;Geography.png;;
