Category Code;Category Title;Template;Order Rules;Low Score;High Score;Subject;Rating;Icon;Title Icon;Sequel;Course
164;Definitions 4;R3;;4.63;3.34;L;1630;Definitions;Definitions;4;en_lit
165;Spelling 5;D2;;20.34;12.12;L;1640;Spelling;Spelling;5;en_lit
166;Verb Tenses 2;R3;;5.48;3.76;L;1650;Grammar;Verb Tenses;2;en_lit
167;Fluency 7;R1;;3.54;2.51;L;1660;Fluency;Fluency;7;en_lit
168;Comprehension 2;P4;;5.48;3.76;L;1670;Comprehension;Comprehension;2;en_lit
169;Vocabulary Development - Similar Words 2;R3;;3.54;2.51;L;1680;Definitions;Similar Words;2;en_lit
170;Comprehension 3;P4;;5.48;3.76;L;1690;Comprehension;Comprehension;3;en_lit
171;Sentence Construction 2;D1;;20.34;12.12;L;1700;Grammar;Sentence Construction;2;en_lit
172;Alphabetical Order;R3;;6.03;4.01;L;1710;Alphabet;Alphabetical Order;0;en_lit
173;Sentence Construction 3;D1;;20.34;12.12;L;1720;Grammar;Sentence Construction;3;en_lit
174;Fluency 8;R1;;3.54;2.51;L;1730;Fluency;Fluency;8;en_lit
175;Fluency 9;R1;;3.54;2.51;L;1740;Fluency;Fluency;9;en_lit
176;Spelling 6;D2;;20.34;12.12;L;1750;Spelling;Spelling;6;en_lit
177;Definitions 5;R3;;4.3;3.01;L;1760;Definitions;Definitions;5;en_lit
178;Spelling 7;D2;;20.34;12.12;L;1770;Spelling;Spelling;7;en_lit
179;Vocabulary Development - Opposites 2;R3;;3.54;2.51;L;1780;Definitions;Opposites;2;en_lit
180;Sentence Construction 4;D1;;30.77;15.19;L;1790;Grammar;Sentence Construction;4;en_lit
181;Spelling 8;D2;;20.34;12.12;L;1800;Spelling;Spelling;8;en_lit
182;Verb Tenses 3;R3;;4.63;3.34;L;1810;Grammar;Verb Tenses;3;en_lit
183;Spelling 9;D2;;15.19;10.08;L;1820;Spelling;Spelling;9;en_lit
184;Nouns, Verbs and Adjectives;R3;;6.03;4.01;L;1830;Grammar;Nouns, Verbs and Adjectives;0;en_lit
185;Grammatically Correct;R3;;6.03;4.01;L;1840;Grammar;Grammatically Correct;0;en_lit
186;Spelling Corrections;R3;;6.03;4.01;L;1850;Spelling;Spelling Corrections;0;en_lit
187;Counting to 6;P7;;4.3;3.01;N;1000;Counting;Counting to 6;6;en_num
188;Number Recognition - 0 to 10;R1;;4.3;3.01;N;1010;Number Recognition;Number Recognition;0;en_num
189;Counting to 10;P6;;6.03;4.01;N;1020;Counting;Counting to 10;0;en_num
190;Bigger Number - Single Digit;R3;;4.3;3.01;N;1030;Greater than, less than;Bigger Number ;0;en_num
191;Number Ordering to 10 (After);R3;;6.7;4.63;N;1040;Greater than, less than;Number Ordering;0;en_num
192;Smaller Number - Single Digit;R3;;4.3;3.01;N;1050;Greater than, less than;Smaller Number;0;en_num
193;Number Ordering to 10 (Before);R3;;6.7;4.63;N;1060;Greater than, less than;Number Ordering;0;en_num
194;Number Recognition - 0 to 20;R1;;3.54;2.51;N;1070;Number Recognition;Number Recognition;0;en_num
195;Addition to 6;R3;;6.03;4.01;N;1080;Addition;Addition to 6;0;en_num
196;Addition to 6 - Missing;R3;;6.7;4.63;N;1090;Addition;Addition to 6;0;en_num
197;Addition to 6 - Turned Around;P8;;5.48;3.76;N;1100;Addition;Addition to 6;0;en_num
198;Number Recognition - 11 to 100;R1;;4.3;3.01;N;1110;Number Recognition;Number Recognition;0;en_num
199;Number Ordering to 30 (After);R3;;6.03;4.01;N;1120;Greater than, less than;Number Ordering;0;en_num
200;Addition to 10;R3;;6.03;4.01;N;1130;Addition;Addition to 10;0;en_num
201;Bigger Number - Two Digit;R3;;4.63;3.34;N;1140;Greater than, less than;Bigger Number;0;en_num
202;Number Ordering to 30 (Before);R3;;6.03;4.01;N;1150;Greater than, less than;Number Ordering;0;en_num
203;Addition to 10 - Missing;R3;;6.7;4.63;N;1160;Addition;Addition to 10;0;en_num
204;Number Ordering to 100 (After);R3;;6.03;4.01;N;1170;Greater than, less than;Number Ordering;0;en_num
205;Subtraction less than 6;R3;;6.03;4.01;N;1180;Subtraction;Subtraction less than 6;0;en_num
206;Addition to 10 - Turned Around;P8;;5.48;3.76;N;1190;Addition;Addition to 10;0;en_num
207;Smaller Number - Two Digit;R3;;4.63;3.34;N;1200;Greater than, less than;Smaller Number;0;en_num
208;Number Pattern - Increasing 1;R3;;5.48;3.76;N;1210;Patterns;Number Pattern;0;en_num
209;Number Ordering to 100 (Before);R3;;6.03;4.01;N;1220;Greater than, less than;Number Ordering;0;en_num
210;Number Pattern - Decreasing 1;R3;;5.48;3.76;N;1230;Patterns;Number Pattern;0;en_num
211;Subtraction less than 6 - Missing;R3;;6.7;4.63;N;1240;Subtraction;Subtraction less than 6;0;en_num
212;Addition to 20;R3;;6.7;4.63;N;1250;Addition;Addition to 20;0;en_num
213;Bigger Number - Three Digit;R3;;3.76;2.73;N;1260;Greater than, less than;Bigger Number;0;en_num
214;Subtraction less than 10;R3;;6.7;4.63;N;1270;Subtraction;Subtraction less than 10;0;en_num
215;Smaller Number - Three Digit;R3;;4.3;3.01;N;1280;Greater than, less than;Smaller Number;0;en_num
216;Number Pattern - Increasing 2;R3;;6.03;4.01;N;1290;Patterns;Number Pattern - Increasing;0;en_num
217;Adding Multiple of Ten;R3;;6.7;4.63;N;1300;Addition;Adding Multiple of Ten;0;en_num
218;Subtraction less than 10 - Turned Around;P8;;5.48;3.76;N;1310;Subtraction;Subtraction less than 10;0;en_num
219;Number Recognition - Three Digit;R1;;4.3;3.01;N;1320;Number Recognition;Number Recognition - Three Digit;0;en_num
220;Number Pattern - Decreasing 2;R3;;6.03;4.01;N;1330;Patterns;Number Pattern - Decreasing;0;en_num
221;Arithmetic 1;R3;;6.03;4.01;N;1340;Mixed Mentals;Arithmetic;1;en_num
222;Two Digit + One Digit Without Carry;R3;;6.03;4.01;N;1350;Addition;Two Digit + One Digit;0;en_num
223;Time - Analogue 1;P9;;4.3;3.01;N;1360;Time;Time - Analogue;1;en_num
